question,options,answer,subject,topic tag,year
"Consider the following statements:

 Once the Central Government notifies an area as a 'Community Reserve'

 the Chief Wildlife Warden of the State becomes the governing authority of such forest hunting is not allowed in such area people of such area are allowed to collect non-timber forest produce people of such area are allowed traditional agricultural practices

 How many of the above statements are correct?","A. Only one
B. Only two
C. Only three
D. All four",C,Environment & Ecology,Environment & Ecology -> Protected Area Management & Community Reserves (WPA 1972),2023
"With reference to 'Scheduled Areas' in India, consider the following statements :

 Within a State, the notification of an area as Scheduled Area takes place through an Order of the President. The largest administrative unit forming the Scheduled Area is the District and the lowest is the cluster of villages in the Block. The Chief Ministers of the concerned States are required to submit annual reports to the Union Home Ministry on the administration of Scheduled Areas in the States.

 How many of the above statements are correct?","A. Only one
B. Only two
C. All three
D. None",B,Indian Polity,Indian Polity -> 5th Schedule Administration & Scheduled Areas,2023
"Consider the following statements:

 Statement-I :

 The Supreme Court of India has held in some judgments that the reservation policies made under Article 16(4) of the Constitution of India would be limited by Article 335 for maintenance of efficiency of administration.

 Statement-II :

 Article 335 of the Constitution of India defines the term 'efficiency of administration'.

 Which one of the following is correct in respect of the above statements?","A. Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
B. Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
C. Statement-1 is correct but Statement-II is incorrect
D. Statement-1 is incorrect but Statement-II is correct",C,Indian Polity,Indian Polity -> Constitutional Provisions & Affirmative Action (Article 16(4) / Article 335),2023
"In which one of the following regions was Dhanyakataka, which flourished as a prominent Buddhist centre under the Mahasanghikas, located?","A. Andhra
B. Gandhara
C. Kalinga
D. Magadha",A,History,History -> Ancient Buddhism & Mahasanghikas (Dhanyakataka),2023
"With reference to ancient India, consider the following statements :

 The concept of Stupa is Buddhist in origin. Stupa was generally a repository of relics. Stupa was a votive and commemorative structure in Buddhist tradition.

 How many of the statements given above are correct?","A. Only one
B. Only two
C. All three
D. None",B,Art & Culture,Art & Culture -> Buddhist Architecture & Stupas,2023
"With reference to ancient South India, Korkai, Poompuhar and Muchiri were well known as","A. capital cities
B. ports
C. centres of iron-and-steel trailing
D. shrines of Jain Tirthankaras",B,History,"History -> Ancient South Indian Maritime Ports (Korkai, Poompuhar, Muziris)",2023
Which one of the following explains the practice of 'Vattakirutal' as mentioned in Sangam poems?,"A. Kings employing women bodyguards
B. Learned persons assembling in royal courts to discuss religious and philosophical matters
C. Young girls keeping watch over agricultural fields and driving away birds and animals
D. A king defeated in a battle committing ritual suicide by starving himself to death",D,History,History -> Sangam Literature & Rituals (Vattakirutal),2023
"Consider the following dynasties

 Hoysala Gahadavala Kakatiya Yadava

 How many of the above dynasties established their kingdoms in early eighth century AD?","A. Only one
B. Only two
C. Only three
D. None",D,History,"History -> Early Medieval Dynasties (Hoysalas, Gahadavalas, Kakatiyas, Yadavas)",2023
"With reference to ancient Indian History, consider the following pairs :

 Literary - work Author

 Devichandragupta : Bilhana Hammira-Mahakavya : Nayachandra Suri Milinda-panha : Nagarjuna Nitivakyamrita : Somadeva Sufi

 How many of the above pairs are correctly matched?","A. Only one
B. Only two
C. Only three
D. All four",C,Art & Culture,Art & Culture -> Ancient Indian Sanskrit & Prakrit Literature,2023
"""Souls are not only the property of animal and plant life, but also of rocks, running water and many other natural objects not looked on as living by other religious sects.""

 The above statement reflects one of the core beliefs of which one of the following religious sects of ancient India?","A. Buddhism
B. Jainism
C. Shaivism
D. Vaishnavism",B,Art & Culture,Art & Culture -> Ancient Indian Philosophy & Jainism / Animism,2023
Who among the following rulers of Vijayanagara Empire constructed a large dam across Tungabhadra River and a canal-cum-aqueduct several kilometres long from the river to the capital city?,"A. Devaraya I
B. Mallikaijuna
C. Vira Vijaya
D. Virupaksha",A,History,History -> Vijayanagara Empire & Irrigation Engineering (Devaraya I),2023
Who among the following rulers of medieval Gujarat surrendered Diu to Portuguese?,"A. Ahmad Shah
B. Mahmud Begarha
C. Bahadur Shah
D. Muhammad Shah",C,History,History -> Medieval Gujarat Sultanate & Portuguese Relations (Bahadur Shah),2023
By which one of the following Acts was the Governor General of Bengal designated as the Governor General of India?,"A. The Regulating Act
B. The Pitt's India Act
C. The Charter Act of 1793
D. The Charter Act of 1833",D,History,History -> Modern Indian Constitutional History & Charter Act 1833,2023
"Consider the following statements in relation to Janani Suraksha Yojana :

 It is a safe motherhood intervention of the State Health Departments. Its objective is to reduce maternal and neonatal mortality among poor pregnant women. It aims to promote institutional delivery among poor pregnant women. Its objective includes providing public health facilities to sick infants up to one year of age.

 How many of the statements given above are correct?","A. Only one
B. Only two
C. Only three
D. All four",B,Society,Society -> Public Health Interventions & Janani Suraksha Yojana,2023
"Consider the following statements in the context of interventions being undertaken under Anaemia Mukt Bharat Strategy :

 It provides prophylactic calcium supplementation for pre-school children, adolescents and pregnant women. It runs a campaign for delayed cord clamping at the time of child-birth. It provides for periodic deworming to children and adolescents. It addresses non-nutritional causes of anaemia in endemic pockets with special focus on malaria, hemoglobinopathies and fluorosis.

 How many of the statements given above are correct?","A. Only one
B. Only two
C. Only three
D. All four",C,Society,Society -> Nutrition & Health Interventions (Anaemia Mukt Bharat Strategy),2023
"Consider the following statements :

 Carbon fibres are used in the manufacture of components used in automobiles and aircrafts. Carbon fibres once used cannot be recycled.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",A,Science & Technology,Science & Technology -> Space Technology & Small Satellite Launch Vehicles (SSLV),2023
"Consider the following actions :

 Detection of car crash/collision which results in the deployment of airbags almost instantaneously Detection of accidental free fall of a laptop towards the ground which results in the immediate turning off of the hard drive Detection of the tilt of the smart-phone which results in the rotation of display between portrait and landscape mode

 In how many of the above lions is the function of accelerometer required?","A. Only one
B. Only two
C. All three
D. None",C,Science & Technology,Science & Technology -> Ballistic Missiles vs Cruise Missiles,2023
"With reference to the role of biofilters in Recirculating Aquaculture System, consider the following statements :

 Biofilters provide waste treatment by removing uneaten fish feed. Biofilters convert ammonia present in fish waste to nitrate. Biofilters increase phosphorus as nutrient for fish in water.

 How many of the statements given above are correct?","A. Only one
B. Only two
C. All three
D. None",B,Environment & Ecology,Environment & Ecology -> Aquaculture Systems & Biofilters,2023
"Consider the following pairs :

 Objects in space : Description

 1. Cepheids : Giant clouds of dust and gas in space

 2. Nebulae : Stars which brighten and dim periodically

 3. Pulsars : Neutron stars that are formed when massive stars run out of fuel and collapse

 How many of the above pairs are correctly matched?","A. Only one
B. Only two
C. All three
D. None",D,Science & Technology,Science & Technology -> Space Exploration & Telescopes (James Webb / Asteroids),2023
